trade_index,datetime_utc,victim_size_usd,front_run_size_usd,victim_cost_baseline,victim_cost_actual,front_run_shares,back_run_revenue,attacker_profit,shares_lost,expected_value_lost,price_before,price_after_frontrun,price_after_victim,price_after_backrun,market,b,front_run_multiplier,min_victim_size_usd,price_impact
140,2025-06-18 18:33:46+00:00,4380.0,8760.0,4380.0,4380.0,8759.999999999996,8760.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
148,2025-06-19 21:25:32+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999964,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
149,2025-06-19 21:32:34+00:00,300.0,600.0,300.0,300.0,599.9999999999964,600.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
150,2025-06-19 21:50:12+00:00,250.0,500.0,250.0,250.0,499.99999999999636,500.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
151,2025-06-19 22:42:50+00:00,787.4,1574.800000000003,787.3999999999942,787.3999999999942,1574.7999999999993,1574.800000000003,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
152,2025-06-19 22:54:26+00:00,222.222221,444.4444419999927,222.22222100000363,222.22222100000363,444.44444199999634,444.4444419999927,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
153,2025-06-20 00:15:12+00:00,1096.666665,2193.333329999994,1096.666664999997,1096.666664999997,2193.3333299999977,2193.333329999994,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
154,2025-06-20 00:24:28+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999964,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
156,2025-06-20 00:38:24+00:00,220.0,440.0,220.0,220.0,439.99999999999636,440.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
157,2025-06-20 00:56:34+00:00,200.0,400.0,200.0,200.0,399.99999999999636,400.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
161,2025-06-20 01:01:22+00:00,302.0,604.0,302.0,302.0,603.9999999999964,604.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
162,2025-06-20 01:01:34+00:00,500.0,1000.0,500.0,500.0,999.9999999999964,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
164,2025-06-20 01:03:02+00:00,256.0,512.0,256.0,256.0,511.99999999999636,512.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
165,2025-06-20 01:03:04+00:00,500.0,1000.0,500.0,500.0,999.9999999999964,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
166,2025-06-20 01:03:06+00:00,500.0,1000.0,500.0,500.0,999.9999999999964,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
167,2025-06-20 01:03:10+00:00,500.0,1000.0,500.0,500.0,999.9999999999964,1000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
168,2025-06-20 01:03:16+00:00,219.96,439.91999999999825,219.9600000000064,219.9600000000064,439.9200000000019,439.91999999999825,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
179,2025-06-20 01:41:56+00:00,1000.0,2000.0,1000.0,1000.0,1999.9999999999964,2000.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
184,2025-06-20 01:43:38+00:00,1085.83,2171.6600000000035,1085.8300000000017,1085.8300000000017,2171.66,2171.6600000000035,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
193,2025-06-20 01:44:40+00:00,977.0,1954.0,977.0,977.0,1953.9999999999964,1954.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,NBA Finals Thunder vs Pacers,500.0,2.0,200.0,0.0
