market,b,front_run_multiplier,min_victim_size_usd,attacks_simulated,profitable_attacks,avg_attacker_profit,total_attacker_profit,max_attacker_profit,avg_shares_lost,total_shares_lost,avg_expected_value_lost,total_expected_value_lost,avg_price_impact,max_price_impact
NBA Finals Thunder vs Pacers,100.0,5.0,200.0,114,13,0.01535961783838502,1.7509964335758923,1.7509963511120077,0.01535963004874032,1.7509978255563965,0.015093012334236206,1.7206034061029274,0.00015226617407765515,0.0173583430201788
NBA Finals Thunder vs Pacers,250.0,0.25,25.0,219,17,0.09034781938714631,19.78617244578504,28.031187625445398,0.20381880965036242,44.63631931342937,0.13844580810297322,30.319631974551136,0.0008604104881907688,0.1016541521912071
NBA Finals Thunder vs Pacers,250.0,0.25,50.0,187,15,0.17252957049660236,32.26302968286464,29.463079670988975,0.18542696156968252,34.674841813530634,0.14381751328489603,26.893874984275556,0.0007198160858706053,0.10624461402970609
NBA Finals Thunder vs Pacers,250.0,0.25,100.0,158,10,0.18483017625238868,29.20316784787741,29.10733201887905,0.1854275422326161,29.297551672753343,0.1546948603596226,24.441787936820372,0.0006695472292700168,0.10510901830955943
NBA Finals Thunder vs Pacers,250.0,0.25,200.0,114,9,0.25579645730428724,29.160796132688745,29.10733201887905,0.2566238160454719,29.2551150291838,0.21403028332203258,24.399452298711715,0.0009238846577182303,0.10510901830955943
NBA Finals Thunder vs Pacers,250.0,0.5,25.0,219,19,0.08435103550941404,18.472876776561677,36.05093181671754,0.29827320990857614,65.32183296997817,0.19441059329659216,42.575919931953685,0.001363337458047577,0.13392664826842726
NBA Finals Thunder vs Pacers,250.0,0.5,50.0,187,13,0.24075150162078768,45.0205308030873,39.857314213017276,0.2646515972991874,49.48984869494805,0.20034439958234496,37.46440272189851,0.0010794640884328897,0.14667297316102001
NBA Finals Thunder vs Pacers,250.0,0.5,100.0,158,11,0.24763336957137824,39.12607239227776,38.98586958478512,0.24845014007351154,39.255122131614826,0.20728414360782493,32.75089469003634,0.0009172188572842523,0.14377646522735898
NBA Finals Thunder vs Pacers,250.0,0.5,200.0,114,8,0.342479204066421,39.042629263571996,38.98586958478512,0.3436100509804056,39.17154581176624,0.2865572416980515,32.667525553577875,0.0012631884051741856,0.14377646522735898
NBA Finals Thunder vs Pacers,250.0,1.0,25.0,219,20,0.10919679237639911,23.914097530431405,40.66767231142467,0.41443956470777965,90.76226467100375,0.25265898410223797,55.33231751839011,0.002119753664035012,0.1524948874945523
NBA Finals Thunder vs Pacers,250.0,1.0,50.0,187,15,0.2914970579716069,54.509949840690496,45.51576236697292,0.3334096645252402,62.34760726621991,0.24206885281687798,45.266875476756184,0.001464809635051501,0.16902205821395377
NBA Finals Thunder vs Pacers,250.0,1.0,100.0,158,10,0.2785933950919824,44.01775642453322,43.80697510187315,0.27952096235265894,44.16431205172012,0.23326176166398457,36.85535834290956,0.0010452353225070474,0.1632344938716629
NBA Finals Thunder vs Pacers,250.0,1.0,200.0,114,9,0.3847795126309269,43.86486443992567,43.80697510187315,0.3860629008054195,44.011170691817824,0.3219526740836593,36.70260484553716,0.0014339124952430786,0.1632344938716629
NBA Finals Thunder vs Pacers,250.0,2.0,25.0,219,18,0.15970221802103127,34.974785746605846,42.93716972176526,0.560344455618516,122.71543578045501,0.31978452386142175,70.03281072565136,0.0033464698748600337,0.22390768600059863
NBA Finals Thunder vs Pacers,250.0,2.0,50.0,187,17,0.32962285007427033,61.63947296388855,47.334334444326714,0.39718777759617324,74.2741144104844,0.273369504944117,51.120097424549876,0.0019573336878038424,0.18538602541020965
NBA Finals Thunder vs Pacers,250.0,2.0,100.0,158,15,0.2838487830097755,44.84810771554453,44.53921159074571,0.28479428267596385,44.99749666280229,0.23776006165905939,37.56608974213138,0.0010709917082604454,0.16622423791560148
NBA Finals Thunder vs Pacers,250.0,2.0,200.0,114,9,0.39120412949233596,44.5972707621263,44.53921159074571,0.3925109451960903,44.74624775235429,0.32732878456038256,37.31548143988361,0.001460144277874269,0.16622423791560148
NBA Finals Thunder vs Pacers,250.0,5.0,25.0,219,25,0.24104076042492548,52.78792653305868,45.80264698731571,0.774362276547855,169.58533856398026,0.4211279317238837,92.22701704753052,0.005878001130348267,0.4304108299099284
NBA Finals Thunder vs Pacers,250.0,5.0,50.0,187,14,0.37486725447459923,70.10017658675005,48.78442211561105,0.4836258308892853,90.43803037629635,0.3136699825276926,58.65628673267852,0.0029089724342785694,0.3554547875057491
NBA Finals Thunder vs Pacers,250.0,5.0,100.0,158,13,0.2847371916201382,44.98847627598184,44.55285183795149,0.2856843545620021,45.13812802079633,0.2386336318055408,37.70411382527545,0.0010802027564033188,0.16628001830489592
NBA Finals Thunder vs Pacers,250.0,5.0,200.0,114,11,0.3913238085751481,44.61091417756688,44.55285183795149,0.39263106134505205,44.75994099333593,0.3274289324020815,37.32689829383729,0.0014606336906745941,0.16628001830489592
NBA Finals Thunder vs Pacers,500.0,0.25,25.0,219,25,0.279685944859253,61.251221924176406,77.84408411348466,0.4743182855486166,103.87570453514704,0.30256297100917423,66.26129065100916,0.0009446814177997088,0.13264597451405635
NBA Finals Thunder vs Pacers,500.0,0.25,50.0,187,19,0.3979469875574343,74.41608667324022,80.15657744205669,0.5148780740538853,96.28219984807654,0.34115682696031613,63.796326641579114,0.0009178354937817,0.13552025153340663
NBA Finals Thunder vs Pacers,500.0,0.25,100.0,158,15,0.5678881434230946,89.72632666084894,82.96523312662487,0.5968103328301407,94.29603258716224,0.400495400477953,63.278273275516575,0.0009923826397376901,0.13895096303447585
NBA Finals Thunder vs Pacers,500.0,0.25,200.0,114,11,0.7817487727003762,89.11936008784289,82.96523312662487,0.8216631271076367,93.66959649027058,0.5497933843631868,62.67644581740329,0.0013260023423849348,0.13895096303447585
